lucky_time,lucky_date,first_person,first_money,second_person,second_money,third_person,third_money,fourth_person,fourth_money,fifth_person,fifth_money,first_num,second_num,third_num,fourth_num,fifth_num,sixth_num,bonus_num,machine,manpower,P_GROUP,P_CATE,P_TITLE,P_WIDTH,P_HEIGHT,P_LINK,P_PAGE,
565,2013-09-28,8,1742064469,39,59557760,1866,1244777,85438,50000,1384878,5000,4,10,18,27,40,45,38,6,2,,,,0,0,,,
564,2013-09-21,7,1934801143,32,70539625,1649,1368871,83100,50000,1358618,5000,14,19,25,26,27,34,2,6,1,,,,0,0,,,
563,2013-09-14,7,1932735643,38,59338375,1642,1373239,79945,50000,1324790,5000,5,10,16,17,31,32,21,6,1,,,,0,0,,,
562,2013-09-07,11,1166694614,51,41940003,1789,1195607,85094,50000,1355577,5000,4,11,13,17,20,31,33,9,2,,,,0,0,,,
561,2013-08-31,5,2753712225,41,55969761,1434,1600252,73966,50000,1252562,5000,5,7,18,37,42,45,20,2,3,,,,0,0,,,
560,2013-08-24,7,1976697215,40,57653669,1476,1562431,73123,50000,1235465,5000,1,4,20,23,29,45,28,5,2,,,,0,0,,,
559,2013-08-17,7,1926145608,42,53504045,1566,1434975,73823,50000,1239640,5000,11,12,25,32,44,45,23,5,2,,,,0,0,,,
558,2013-08-10,10,1315913663,51,43003715,1408,1557663,77834,50000,1206457,5000,12,15,19,26,40,43,29,8,2,,,,0,0,,,
557,2013-08-03,7,1888069286,43,51226687,1503,1465568,74569,50000,1238570,5000,4,20,26,28,35,40,31,2,5,,,,0,0,,,
556,2013-07-27,7,2005209161,41,57058798,1411,1657981,73689,50000,1257532,5000,12,20,23,28,30,44,43,6,1,,,,0,0,,,
555,2013-07-20,8,1711027360,46,49594996,1554,1468063,78046,50000,1296730,5000,11,17,21,24,26,36,12,7,1,,,,0,0,,,
554,2013-07-13,2,6813893625,41,55397510,1484,1530525,74436,50000,1234010,5000,13,14,17,32,41,42,6,1,1,,,,0,0,,,
553,2013-07-06,6,2249631438,52,43262144,1647,1365897,77687,50000,1272468,5000,2,7,17,28,29,39,37,6,0,,,,0,0,,,
552,2013-06-29,10,1330824225,45,49289787,1808,1226793,86409,50000,1347284,5000,1,10,20,32,35,40,43,6,4,,,,0,0,,,
551,2013-06-22,1,13526973750,32,70452989,1440,1565622,77811,50000,1313634,5000,3,6,20,24,27,44,25,1,0,,,,0,0,,,
550,2013-06-15,11,1118679205,58,35360550,2728,751801,103421,50000,1328508,5000,1,7,14,20,34,37,41,5,3,,,,0,0,,,
549,2013-06-08,8,1760805047,35,67078288,1487,1578844,71700,50000,1213077,5000,29,31,35,38,40,44,17,5,3,,,,0,0,,,
548,2013-06-01,8,1736871891,46,50344113,1646,1406944,78057,50000,1291286,5000,1,12,13,21,32,45,14,6,2,,,,0,0,,,
547,2013-05-25,5,2838444450,54,43803156,1548,1528018,75527,50000,1256984,5000,6,7,15,22,34,39,28,4,1,,,,0,0,,,
546,2013-05-18,30,405939950,55,36903632,3110,652637,104469,50000,1379107,5000,8,17,20,27,37,43,6,3,27,,,,0,0,,,
545,2013-05-11,11,1198994353,42,52337056,1497,1468375,77301,50000,1306657,5000,4,24,25,27,34,35,2,9,2,,,,0,0,,,
544,2013-05-04,13,1046388433,47,48237765,1527,1484725,74263,50000,1235509,5000,5,17,21,25,36,44,10,8,5,,,,0,0,,,
543,2013-04-27,12,1112934844,47,47358930,1968,1131032,81520,50000,1280433,5000,13,18,26,31,34,44,12,3,9,,,,0,0,,,
542,2013-04-20,6,2335152563,26,89813561,1456,1603814,72242,50000,1236252,5000,5,6,19,26,41,45,34,6,0,,,,0,0,,,
541,2013-04-13,11,1269327171,40,58177496,1444,1611565,73911,50000,1246235,5000,8,13,26,28,32,34,43,9,2,,,,0,0,,,
540,2013-04-06,7,1989365250,26,89266390,1409,1647216,72629,50000,1234194,5000,3,12,13,15,34,36,14,6,1,,,,0,0,,,
539,2013-03-30,9,1621036667,42,57894167,1519,1600761,75592,50000,1270479,5000,3,19,22,31,42,43,26,5,4,,,,0,0,,,
